age,experience,income,zip_code,family,cc_avg,education,mortgage,personal_loan,securities_account,cd_account,online,credit_card,age_bracket,age_bracket_name,income_per_family_member,cc_to_income_ratio,debt_to_income_ratio,financial_maturity_index
25,1,49,91107,4,1.6,1,0,0,1,0,0,0,1,Generation Z,9.8,0.0326530612244898,0.0326530612244898,30.625
45,19,34,90089,3,1.5,1,0,0,1,0,0,0,3,Generation X,8.5,0.04411764705882353,0.04411764705882353,22.666666666666668
39,15,11,94720,1,1.0,1,0,0,0,0,0,0,2,Millennials,5.5,0.09090909090909091,0.09090909090909091,11.0
35,9,100,94112,1,2.7,2,0,0,0,0,0,0,2,Millennials,50.0,0.027000000000000003,0.027000000000000003,37.03703703703704
35,8,45,91330,4,1.0,2,0,0,0,0,0,1,2,Millennials,9.0,0.022222222222222223,0.022222222222222223,45.0
37,13,29,92121,4,0.4,2,155,0,0,0,1,0,2,Millennials,5.8,0.013793103448275864,5.358620689655172,72.5
53,27,72,91711,2,1.5,2,0,0,0,0,1,0,3,Generation X,24.0,0.020833333333333332,0.020833333333333332,48.0
50,24,22,93943,1,0.3,3,0,0,0,0,0,1,3,Generation X,11.0,0.013636363636363636,0.013636363636363636,73.33333333333334
35,10,81,90089,3,0.6,2,104,0,0,0,1,0,2,Millennials,20.25,0.007407407407407407,1.2913580246913579,135.0
34,9,180,93023,1,8.9,3,0,1,0,0,0,0,2,Millennials,90.0,0.049444444444444444,0.049444444444444444,20.224719101123593
65,39,105,94710,4,2.4,3,0,0,0,0,0,0,4,Baby boomers,21.0,0.022857142857142857,0.022857142857142857,43.75
29,5,45,90277,3,0.1,2,0,0,0,0,1,0,2,Millennials,11.25,0.0022222222222222222,0.0022222222222222222,450.0
48,23,114,93106,2,3.8,3,0,0,1,0,0,0,3,Generation X,38.0,0.03333333333333333,0.03333333333333333,30.0
59,32,40,94920,4,2.5,2,0,0,0,0,1,0,4,Baby boomers,8.0,0.0625,0.0625,16.0
67,41,112,91741,1,2.0,1,0,0,1,0,0,0,4,Baby boomers,56.0,0.017857142857142856,0.017857142857142856,56.0
60,30,22,95054,1,1.5,3,0,0,0,0,1,1,4,Baby boomers,11.0,0.06818181818181818,0.06818181818181818,14.666666666666666
38,14,130,95010,4,4.7,3,134,1,0,0,0,0,2,Millennials,26.0,0.036153846153846154,1.0669230769230769,27.659574468085104
42,18,81,94305,4,2.4,1,0,0,0,0,0,0,2,Millennials,16.2,0.029629629629629627,0.029629629629629627,33.75
46,21,193,91604,2,8.1,3,0,1,0,0,0,0,3,Generation X,64.33333333333333,0.04196891191709844,0.04196891191709844,23.82716049382716
55,28,21,94720,1,0.5,2,0,0,1,0,0,1,3,Generation X,10.5,0.023809523809523808,0.023809523809523808,42.0
56,31,25,94015,4,0.9,2,111,0,0,0,1,0,3,Generation X,5.0,0.036000000000000004,4.476,27.77777777777778
57,27,63,90095,3,2.0,3,0,0,0,0,1,0,3,Generation X,15.75,0.031746031746031744,0.031746031746031744,31.5
29,5,62,90277,1,1.2,1,260,0,0,0,1,0,2,Millennials,31.0,0.01935483870967742,4.212903225806452,51.66666666666667
44,18,43,91320,2,0.7,1,163,0,1,0,0,0,3,Generation X,14.333333333333334,0.01627906976744186,3.8069767441860463,61.42857142857143
36,11,152,95521,2,3.9,1,159,0,0,0,0,1,2,Millennials,50.666666666666664,0.025657894736842105,1.0717105263157896,38.97435897435898
43,19,29,94305,3,0.5,1,97,0,0,0,1,0,3,Generation X,7.25,0.017241379310344827,3.3620689655172415,58.0
40,16,83,95064,4,0.2,3,0,0,0,0,0,0,2,Millennials,16.6,0.0024096385542168677,0.0024096385542168677,415.0
46,20,158,90064,1,2.4,1,0,0,0,0,1,1,3,Generation X,79.0,0.015189873417721518,0.015189873417721518,65.83333333333334
56,30,48,94539,1,2.2,3,0,0,0,0,1,1,3,Generation X,24.0,0.04583333333333334,0.04583333333333334,21.818181818181817
38,13,119,94104,1,3.3,2,0,1,0,1,1,1,2,Millennials,59.5,0.02773109243697479,0.02773109243697479,36.06060606060606
59,35,35,93106,1,1.2,3,122,0,0,0,1,0,4,Baby boomers,17.5,0.03428571428571429,3.52,29.166666666666668
40,16,29,94117,1,2.0,2,0,0,0,0,1,0,2,Millennials,14.5,0.06896551724137931,0.06896551724137931,14.5
53,28,41,94801,2,0.6,3,193,0,0,0,0,0,3,Generation X,13.666666666666666,0.014634146341463414,4.721951219512195,68.33333333333334
30,6,18,91330,3,0.9,3,0,0,0,0,0,0,2,Millennials,4.5,0.05,0.05,20.0
31,5,50,94035,4,1.8,3,0,0,0,0,1,0,2,Millennials,10.0,0.036000000000000004,0.036000000000000004,27.77777777777778
48,24,81,92647,3,0.7,1,0,0,0,0,0,0,3,Generation X,20.25,0.008641975308641974,0.008641975308641974,115.71428571428572
59,35,121,94720,1,2.9,1,0,0,0,0,0,1,4,Baby boomers,60.5,0.02396694214876033,0.02396694214876033,41.724137931034484
51,25,71,95814,1,1.4,3,198,0,0,0,0,0,3,Generation X,35.5,0.019718309859154928,2.8084507042253524,50.714285714285715
42,18,141,94114,3,5.0,3,0,1,1,1,1,0,2,Millennials,35.25,0.03546099290780142,0.03546099290780142,28.2
38,13,80,94115,4,0.7,3,285,0,0,0,1,0,2,Millennials,16.0,0.008749999999999999,3.57125,114.28571428571429
57,32,84,92672,3,1.6,3,0,0,1,0,0,0,3,Generation X,21.0,0.01904761904761905,0.01904761904761905,52.5
34,9,60,94122,3,2.3,1,0,0,0,0,0,0,2,Millennials,15.0,0.03833333333333333,0.03833333333333333,26.086956521739133
32,7,132,90019,4,1.1,2,412,1,0,0,1,0,2,Millennials,26.4,0.008333333333333333,3.129545454545455,119.99999999999999
39,15,45,95616,1,0.7,1,0,0,0,0,1,0,2,Millennials,22.5,0.015555555555555555,0.015555555555555555,64.28571428571429
46,20,104,94065,1,5.7,1,0,0,0,0,1,1,3,Generation X,52.0,0.05480769230769231,0.05480769230769231,18.24561403508772
57,31,52,94720,4,2.5,1,0,0,0,0,0,1,3,Generation X,10.4,0.04807692307692308,0.04807692307692308,20.8
39,14,43,95014,3,0.7,2,153,0,0,0,1,0,2,Millennials,10.75,0.01627906976744186,3.5744186046511626,61.42857142857143
37,12,194,91380,4,0.2,3,211,1,1,1,1,1,2,Millennials,38.8,0.0010309278350515464,1.088659793814433,970.0
56,26,81,95747,2,4.5,3,0,0,0,0,0,1,3,Generation X,27.0,0.05555555555555555,0.05555555555555555,18.0
40,16,49,92373,1,1.8,1,0,0,0,0,0,1,2,Millennials,24.5,0.036734693877551024,0.036734693877551024,27.22222222222222
32,8,8,92093,4,0.7,2,0,0,1,0,1,0,2,Millennials,1.6,0.0875,0.0875,11.428571428571429
